Time,T107_C_Avg,SHF_Avg,PSPWatt_UP_Avg,PIRWatt_UP_Avg,PSPWatt_DOWN_Avg,PIRWatt_DOWN_Avg
01/06 03:29:48,17.096333333333334,9.275666666666666,0.02456666666666667,391.29666666666657,0.2857666666666667,392.33333333333326
01/06 03:59:48,17.047666666666665,12.213999999999997,0.0,390.8233333333333,0.1383666666666667,392.2133333333333
01/06 04:29:48,16.97333333333333,13.111,0.0,389.79,0.3528333333333332,391.3
01/06 04:59:48,16.914333333333335,13.387,0.0,389.14000000000004,0.15926666666666664,390.8233333333333
01/06 05:29:48,16.832666666666668,14.667666666666666,0.0,385.99666666666667,0.0,387.72666666666663
01/06 05:59:48,16.750666666666675,14.960000000000003,0.10286666666666668,383.8433333333333,0.13323333333333334,385.6766666666666
01/06 06:29:47,16.72366666666668,12.527666666666667,8.398433333333333,385.71,2.1492333333333336,387.27333333333337
01/06 06:59:47,16.752666666666663,8.322566666666667,49.14033333333334,389.31666666666666,9.917199999999998,392.06999999999994
01/06 07:29:47,16.823999999999995,6.338333333333335,97.32,396.05,22.573566666666668,398.01000000000005
01/06 07:59:47,16.925000000000004,3.0671333333333335,197.1916666666667,411.29666666666674,49.053866666666664,415.3033333333332
01/06 08:29:47,17.110333333333337,-3.6616333333333335,332.71999999999997,432.71000000000004,67.94066666666667,437.69666666666654
01/06 08:59:47,17.403333333333332,-13.707966666666668,492.54666666666674,452.9266666666668,87.86366666666669,458.4
01/06 09:29:46,17.821,-21.940666666666665,328.7,450.24333333333317,48.730999999999995,454.0033333333334
01/06 09:59:46,18.09566666666667,-17.56933333333334,301.86,438.6866666666667,46.076,440.8666666666667
01/06 10:29:46,18.386333333333333,-24.002999999999997,400.1266666666667,440.5833333333333,62.14766666666665,442.24999999999994
01/06 10:59:46,18.68033333333333,-26.83966666666667,417.37999999999994,442.43000000000006,64.40866666666666,444.0299999999999
01/06 11:29:46,19.012666666666668,-31.083999999999993,449.17,446.4899999999999,67.99066666666666,447.88666666666666
01/06 11:59:46,19.612999999999996,-41.47900000000001,539.6299999999999,454.0100000000001,76.19433333333333,455.6066666666666
01/06 12:29:46,19.83533333333333,-26.365333333333336,485.70000000000005,454.4533333333333,67.86333333333333,454.7899999999999
01/06 12:59:45,19.959000000000007,-18.081,305.2,453.8633333333334,43.63866666666666,454.14
01/06 13:29:45,19.92033333333332,-12.206333333333333,236.53666666666666,444.10333333333335,34.86,444.9400000000001
01/06 13:59:45,19.808333333333334,-6.6217000000000015,192.32333333333332,434.9866666666666,27.786333333333328,435.8533333333334
01/06 14:29:45,19.651999999999994,-2.440466666666667,145.96166666666667,426.3566666666667,20.746099999999995,427.1233333333334
01/06 14:59:45,19.428333333333338,2.2586333333333335,77.99066666666666,417.0633333333334,10.8085,417.91999999999996
01/06 15:29:45,19.214333333333332,4.681833333333333,58.839000000000006,409.8566666666667,8.283866666666666,410.76333333333326
01/06 15:59:45,19.034333333333336,5.9493,33.57233333333333,405.6633333333333,4.750033333333334,406.87333333333333
01/06 16:29:44,18.87966666666666,8.092933333333333,14.5094,401.6166666666666,1.5711666666666662,403.24
01/06 16:59:44,18.68466666666667,11.064,0.8867333333333333,397.33,0.0018666666666666666,398.44666666666666
01/06 17:29:44,18.507000000000005,11.520333333333335,0.0,395.4366666666666,0.0044666666666666665,396.12999999999994
01/06 17:59:44,18.393666666666665,10.022333333333334,0.0,395.11666666666673,0.052633333333333324,395.7933333333332
01/06 18:29:44,18.32233333333333,9.145999999999999,0.0,394.8366666666668,0.0325,395.67
01/06 18:59:44,18.25466666666667,9.122000000000002,0.0,394.4433333333333,0.012500000000000004,395.23666666666674
01/06 19:29:43,18.18266666666667,9.602,0.0,393.4500000000001,3.3333333333333335e-05,394.20666666666665
01/06 19:59:43,18.092,10.87266666666667,0.0,391.1899999999999,0.00030000000000000003,392.0733333333334
01/06 20:29:43,17.939000000000004,12.879,0.0,386.3200000000002,0.024766666666666666,387.21
01/06 20:59:43,17.82033333333333,12.670333333333334,0.0,385.5033333333334,0.17580000000000007,386.3699999999999
01/06 21:29:43,17.697000000000003,13.635333333333334,0.0,383.75000000000006,0.08413333333333335,384.4500000000001
01/06 21:59:43,17.614,11.883333333333333,0.007000000000000001,384.09333333333336,0.26403333333333334,385.75
01/06 22:29:43,17.54933333333333,11.611666666666663,6.666666666666667e-05,384.1666666666667,0.11463333333333334,385.10333333333335
01/06 22:59:42,17.487666666666673,11.674333333333331,0.020666666666666667,384.34000000000003,0.3172666666666667,386.34666666666686
01/06 23:29:42,17.42766666666667,12.428333333333333,0.0034333333333333347,385.0066666666668,0.1523,386.2300000000001
01/06 23:59:42,17.387333333333327,10.967666666666668,0.006433333333333335,385.19666666666643,0.17213333333333333,386.7266666666666
01/07 00:29:42,17.364666666666675,10.946666666666667,0.010766666666666667,385.63666666666654,0.26463333333333333,387.33
01/07 00:59:42,17.32933333333333,10.819999999999997,0.004966666666666667,385.78333333333336,0.1368,387.0233333333334
01/07 01:29:42,17.291999999999998,10.771999999999997,0.011800000000000003,385.8133333333333,0.08533333333333332,386.60999999999996
01/07 01:59:42,17.253333333333334,10.789333333333337,0.022533333333333336,385.62,0.1652333333333333,386.8033333333334
01/07 02:29:41,17.202,13.407333333333336,0.0006,383.0766666666666,0.04393333333333334,383.87000000000006
01/07 02:59:41,17.121000000000006,11.993333333333334,0.05206666666666666,383.46999999999997,0.2970333333333333,385.51333333333326
01/07 03:29:41,17.07533333333333,10.643666666666666,0.058266666666666675,384.0066666666666,0.18363333333333334,385.21333333333337
01/07 03:59:41,17.02433333333333,12.727,0.0,382.14333333333343,0.2290333333333333,382.75000000000006
01/07 04:29:41,16.94866666666667,13.250333333333334,0.0086,381.7466666666667,0.28453333333333336,383.20333333333343
01/07 04:59:41,16.90766666666666,12.277333333333335,0.03619999999999997,382.96000000000015,0.21366666666666667,384.47333333333336
01/07 05:29:40,16.880333333333333,10.92933333333333,0.03876666666666666,384.2000000000001,0.2906333333333333,385.8833333333334
01/07 05:59:40,16.843333333333323,11.482,0.011500000000000002,383.7733333333333,0.03860000000000001,384.19666666666666
01/07 06:29:40,16.80966666666667,11.072000000000001,3.044966666666666,382.9133333333331,0.49566666666666664,384.06
01/07 06:59:40,16.790666666666674,9.869333333333335,20.992366666666666,383.8966666666666,3.3586333333333327,386.33
01/07 07:29:40,16.790000000000006,8.365733333333333,76.66666666666667,384.88333333333327,13.092333333333334,385.8033333333333
01/07 07:59:40,16.813999999999997,5.758799999999999,97.39933333333333,386.74,16.102333333333334,389.8233333333334
01/07 08:29:40,16.875666666666667,3.491066666666667,93.527,388.66,14.263666666666666,390.2233333333333
01/07 08:59:39,16.993333333333332,-2.321366666666667,168.73,394.2133333333333,26.63933333333334,399.41
01/07 09:29:39,17.185,-8.031366666666665,326.88,399.9766666666666,53.464333333333336,403.2
01/07 09:59:39,17.379,-10.6924,296.6499999999999,407.7033333333333,47.05066666666667,411.4399999999999
01/07 10:29:39,17.574666666666662,-9.901333333333334,184.11999999999998,404.65,27.66133333333334,407.5866666666667
01/07 10:59:39,17.792000000000005,-16.634999999999998,331.3233333333333,406.94999999999993,51.27633333333333,412.03999999999996
01/07 11:29:39,18.101333333333336,-20.80566666666667,286.1766666666667,413.38999999999993,43.44366666666667,416.79000000000013
01/07 11:59:39,18.317,-16.065633333333334,226.45666666666665,413.1733333333333,33.105333333333334,416.66
01/07 12:29:38,18.396333333333335,-11.850933333333334,318.52333333333326,413.71999999999997,46.92466666666668,418.72
01/07 12:59:38,18.568666666666665,-15.399,226.9266666666667,418.97666666666663,33.85566666666667,421.58
01/07 13:29:38,18.63999999999999,-8.994366666666668,168.15000000000003,415.43,25.224333333333334,417.42
01/07 13:59:38,18.68566666666667,-10.663800000000002,266.2633333333334,417.3733333333334,41.25966666666667,418.61
01/07 14:29:38,18.823333333333334,-13.669666666666668,227.9833333333333,423.68,34.175666666666665,424.31999999999994
01/07 14:59:38,18.884999999999994,-6.932966666666667,163.36666666666667,420.81,23.879,422.07
01/07 15:29:37,18.81933333333333,-0.3215333333333332,116.3983333333333,415.29666666666674,16.697333333333333,416.6533333333333
01/07 15:59:37,18.69366666666667,4.3183333333333325,46.15366666666668,410.4433333333333,5.664133333333333,411.84000000000003
01/07 16:29:37,18.532666666666675,7.768033333333334,9.508400000000002,405.70333333333326,0.44186666666666663,407.18666666666667
01/07 16:59:37,18.36966666666666,9.172333333333334,2.0153,399.6766666666666,0.0207,402.06666666666666
01/07 17:29:37,18.232333333333333,10.296999999999999,0.0,395.25000000000006,0.0,397.74666666666667
01/07 17:59:37,18.098,11.047333333333334,0.0,392.48333333333335,0.0,394.84000000000003
01/07 18:29:37,17.967333333333332,11.872333333333334,0.0,390.73999999999995,0.00016666666666666666,393.09999999999997
01/07 18:59:36,17.827333333333332,14.285333333333336,0.0,388.6566666666667,0.0,391.1266666666667
01/07 19:29:36,17.662,16.009666666666668,0.0,386.6266666666667,0.08299999999999999,389.0533333333333
01/07 19:59:36,17.532999999999998,14.713000000000001,0.0,386.05999999999983,0.02436666666666668,388.22333333333324
01/07 20:29:36,17.450000000000003,13.337333333333335,0.0,385.39999999999986,0.004566666666666667,387.1966666666667
01/07 20:59:36,17.38266666666667,12.883333333333335,0.0,384.3566666666666,0.0013333333333333335,385.9600000000001
01/07 21:29:36,17.323999999999998,12.513000000000002,0.0,383.84333333333325,0.06800000000000002,385.2966666666668
